t,connected,armed,guided,manual_input,mode,system_status
150.31216430664062,True,False,False,True,STABILIZED,3
151.31197381019592,True,False,False,True,STABILIZED,3
152.31011843681335,True,False,False,True,STABILIZED,3
153.309885263443,True,False,False,True,STABILIZED,3
154.31168627738953,True,False,False,True,STABILIZED,3
155.30920004844666,True,False,False,True,STABILIZED,3
156.30979108810425,True,False,False,True,STABILIZED,3
157.30937480926514,True,False,False,True,STABILIZED,3
158.30817484855652,True,False,False,True,STABILIZED,3
159.31467032432556,True,False,False,True,STABILIZED,3
160.30663204193115,True,False,False,True,STABILIZED,3
161.3073592185974,True,False,False,True,STABILIZED,3
162.30759000778198,True,False,False,True,STABILIZED,3
163.30653834342957,True,False,False,True,STABILIZED,3
164.30769228935242,True,False,False,True,STABILIZED,3
165.30687761306763,True,False,False,True,STABILIZED,3
166.30754446983337,True,False,False,True,STABILIZED,3
167.3057827949524,True,False,False,True,STABILIZED,3
168.30552530288696,True,False,False,True,STABILIZED,3
169.3040804862976,True,False,False,True,STABILIZED,3
170.30983185768127,True,False,False,True,STABILIZED,3
171.3128147125244,True,False,False,True,STABILIZED,3
172.31822443008423,True,False,False,True,STABILIZED,3
173.3232638835907,True,False,False,True,STABILIZED,3
174.32643032073975,True,False,False,True,STABILIZED,3
175.33013772964478,True,False,False,True,STABILIZED,3
176.33461546897888,True,False,False,True,STABILIZED,3
177.33615231513977,True,False,False,True,STABILIZED,3
178.34096145629883,True,False,False,True,STABILIZED,3
179.34562277793884,True,False,False,True,STABILIZED,3
180.34634041786194,True,False,False,True,STABILIZED,3
181.3506624698639,True,False,False,True,STABILIZED,3
182.35518288612366,True,False,False,True,STABILIZED,3
183.35783100128174,True,False,False,True,STABILIZED,3
184.35869002342224,True,False,False,True,STABILIZED,3
185.36285734176636,True,False,False,True,STABILIZED,3
186.3662919998169,True,False,False,True,STABILIZED,3
187.37127995491028,True,True,False,True,STABILIZED,4
188.371666431427,True,True,False,True,STABILIZED,4
189.37414026260376,True,True,False,True,STABILIZED,4
190.37709522247314,True,True,False,True,STABILIZED,4
191.37701416015625,True,True,False,True,STABILIZED,4
192.381356716156,True,True,False,True,STABILIZED,4
193.38391041755676,True,True,False,True,STABILIZED,4
194.38473558425903,True,True,False,True,STABILIZED,4
195.38689804077148,True,False,False,True,STABILIZED,3
196.38893604278564,True,False,False,True,STABILIZED,3
197.39039063453674,True,False,False,True,STABILIZED,3
198.39219665527344,True,False,False,True,STABILIZED,3
199.39513993263245,True,False,False,True,STABILIZED,3
200.39792251586914,True,False,False,True,STABILIZED,3
201.39792919158936,True,False,False,True,STABILIZED,3
202.39948272705078,True,False,False,True,STABILIZED,3
203.40215182304382,True,False,False,True,STABILIZED,3
204.40391564369202,True,False,False,True,STABILIZED,3
205.40659642219543,True,False,False,True,STABILIZED,3
206.40634560585022,True,False,False,True,STABILIZED,3
207.4078176021576,True,False,False,True,STABILIZED,3
208.4102704524994,True,False,False,True,STABILIZED,3
209.41279458999634,True,False,False,True,STABILIZED,3
210.41255402565002,True,False,False,True,STABILIZED,3
211.4171028137207,True,False,False,True,STABILIZED,3
212.41534614562988,True,False,False,True,STABILIZED,3
213.4292449951172,True,False,False,True,STABILIZED,3
214.4194631576538,True,False,False,True,STABILIZED,3
215.42089915275574,True,True,False,True,STABILIZED,4
216.4200246334076,True,True,False,True,STABILIZED,4
