t,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,rssi
187.26903820037842,1514,1514,1048,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
187.37125992774963,1514,1514,1047,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
187.4712450504303,1514,1514,1048,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
187.57087874412537,1514,1514,1047,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
187.670640707016,1514,1514,1047,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
187.7721152305603,1514,1514,1047,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
187.87294268608093,1514,1514,1047,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
187.97177577018738,1514,1514,1048,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
188.07123446464539,1514,1514,1048,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
188.17517924308777,1514,1514,1050,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
188.27268171310425,1514,1514,1050,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
188.37218952178955,1514,1514,1048,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
188.47378015518188,1514,1514,1050,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
188.57329726219177,1514,1514,1057,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
188.67299938201904,1514,1514,1058,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
188.7724781036377,1514,1514,1069,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
188.8745129108429,1514,1514,1082,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
188.9738049507141,1514,1514,1097,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
189.07570385932922,1514,1514,1119,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
189.17527842521667,1514,1514,1138,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
189.27561473846436,1514,1514,1167,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
189.37524127960205,1514,1514,1177,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
189.4763469696045,1514,1514,1198,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
189.576030254364,1514,1514,1215,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
189.67555785179138,1514,1514,1218,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
189.77808785438538,1514,1514,1222,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
189.87709307670593,1514,1514,1223,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
189.97664523124695,1514,1514,1227,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
190.07647800445557,1514,1514,1235,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
190.1781289577484,1514,1514,1267,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
190.28202080726624,1514,1514,1290,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
190.37809085845947,1514,1514,1307,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
190.47909879684448,1514,1514,1323,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
190.57949352264404,1514,1514,1326,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
